ID,State,County
1,Alabama,Autauga
2,Alabama,Baldwin
3,Alabama,Barbour
4,Alabama,Bibb
5,Alabama,Blount
6,Alabama,Bullock
7,Alabama,Butler
8,Alabama,Calhoun
9,Alabama,Chambers
10,Alabama,Cherokee
11,Alabama,Chilton
12,Alabama,Choctaw
13,Alabama,Clarke
14,Alabama,Clay
15,Alabama,Cleburne
16,Alabama,Coffee
17,Alabama,Colbert
18,Alabama,Conecuh
19,Alabama,Coosa
20,Alabama,Covington
21,Alabama,Crenshaw
22,Alabama,Cullman
23,Alabama,Dale
24,Alabama,Dallas
25,Alabama,DeKalb
26,Alabama,Elmore
27,Alabama,Escambia
28,Alabama,Etowah
29,Alabama,Fayette
30,Alabama,Franklin
31,Alabama,Geneva
32,Alabama,Greene
33,Alabama,Hale
34,Alabama,Henry
35,Alabama,Houston
36,Alabama,Jackson
37,Alabama,Jefferson
38,Alabama,Lamar
39,Alabama,Lauderdale
40,Alabama,Lawrence
41,Alabama,Lee
42,Alabama,Limestone
43,Alabama,Lowndes
44,Alabama,Macon
45,Alabama,Madison
46,Alabama,Marengo
47,Alabama,Marion
48,Alabama,Marshall
49,Alabama,Mobile
50,Alabama,Monroe
51,Alabama,Montgomery
52,Alabama,Morgan
53,Alabama,Perry
54,Alabama,Pickens
55,Alabama,Pike
56,Alabama,Randolph
57,Alabama,Russell
58,Alabama,St. Clair
59,Alabama,Shelby
60,Alabama,Sumter
61,Alabama,Talladega
62,Alabama,Tallapoosa
63,Alabama,Tuscaloosa
64,Alabama,Walker
65,Alabama,Washington
66,Alabama,Wilcox
67,Alabama,Winston
68,Alaska,Aleutians East Borough
69,Alaska,Aleutians West Census Area
70,Alaska,"Anchorage, Municipality of"
71,Alaska,Bethel Census Area
72,Alaska,Bristol Bay Borough
73,Alaska,Denali Borough
74,Alaska,Dillingham Census Area
75,Alaska,Fairbanks North Star Borough
76,Alaska,Haines Borough
77,Alaska,Hoonah-Angoon Census Area
78,Alaska,"Juneau, City and Borough"
79,Alaska,Kenai Peninsula Borough
80,Alaska,Ketchikan Gateway Borough
81,Alaska,Kodiak Island Borough
82,Alaska,Lake and Peninsula Borough
83,Alaska,Matanuska-Susitna Borough
84,Alaska,Nome Census Area
85,Alaska,North Slope Borough
86,Alaska,Northwest Arctic Borough
87,Alaska,Petersburg Census Area
88,Alaska,Prince of Wales-Hyder Census Area
89,Alaska,"Sitka, City and Borough of"
90,Alaska,"Skagway Borough, Municipality of"
91,Alaska,Southeast Fairbanks Census Area
92,Alaska,Valdez-Cordova Census Area
93,Alaska,Wade Hampton Census Area
94,Alaska,"Wrangell, City and Borough of"
95,Alaska,"Yakutat, City and Borough of"
96,Alaska,Yukon-Koyukuk Census Area
97,Arizona,Apache
98,Arizona,Cochise
99,Arizona,Coconino
100,Arizona,Gila
101,Arizona,Graham
102,Arizona,Greenlee
103,Arizona,La Paz
104,Arizona,Maricopa
105,Arizona,Mohave
106,Arizona,Navajo
107,Arizona,Pima
108,Arizona,Pinal
109,Arizona,Santa Cruz
110,Arizona,Yavapai
111,Arizona,Yuma
112,Arkansas,Arkansas
113,Arkansas,Ashley
114,Arkansas,Baxter
115,Arkansas,Benton
116,Arkansas,Boone
117,Arkansas,Bradley
118,Arkansas,Calhoun
119,Arkansas,Carroll
120,Arkansas,Chicot
121,Arkansas,Clark
122,Arkansas,Clay
123,Arkansas,Cleburne
124,Arkansas,Cleveland
125,Arkansas,Columbia
126,Arkansas,Conway
127,Arkansas,Craighead
128,Arkansas,Crawford
129,Arkansas,Crittenden
130,Arkansas,Cross
131,Arkansas,Dallas
132,Arkansas,Desha
133,Arkansas,Drew
134,Arkansas,Faulkner
135,Arkansas,Franklin
136,Arkansas,Fulton
137,Arkansas,Garland
138,Arkansas,Grant
139,Arkansas,Greene
140,Arkansas,Hempstead
141,Arkansas,Hot Spring
142,Arkansas,Howard
143,Arkansas,Independence
144,Arkansas,Izard
145,Arkansas,Jackson
146,Arkansas,Jefferson
147,Arkansas,Johnson
148,Arkansas,Lafayette
149,Arkansas,Lawrence
150,Arkansas,Lee
151,Arkansas,Lincoln
152,Arkansas,Little River
153,Arkansas,Logan
154,Arkansas,Lonoke
155,Arkansas,Madison
156,Arkansas,Marion
157,Arkansas,Miller
158,Arkansas,Mississippi
159,Arkansas,Monroe
160,Arkansas,Montgomery
161,Arkansas,Nevada
162,Arkansas,Newton
163,Arkansas,Ouachita
164,Arkansas,Perry
165,Arkansas,Phillips
166,Arkansas,Pike
167,Arkansas,Poinsett
168,Arkansas,Polk
169,Arkansas,Pope
170,Arkansas,Prairie
171,Arkansas,Pulaski
172,Arkansas,Randolph
173,Arkansas,St. Francis
174,Arkansas,Saline
175,Arkansas,Scott
176,Arkansas,Searcy
177,Arkansas,Sebastian
178,Arkansas,Sevier
179,Arkansas,Sharp
180,Arkansas,Stone
181,Arkansas,Union
182,Arkansas,Van Buren
183,Arkansas,Washington
184,Arkansas,White
185,Arkansas,Woodruff
186,Arkansas,Yell
187,California,Alameda
188,California,Alpine
189,California,Amador
190,California,Butte
191,California,Calaveras
192,California,Colusa
193,California,Contra Costa
194,California,Del Norte
195,California,El Dorado
196,California,Fresno
197,California,Glenn
198,California,Humboldt
199,California,Imperial
200,California,Inyo
201,California,Kern
202,California,Kings
203,California,Lake
204,California,Lassen
205,California,Los Angeles
206,California,Madera
207,California,Marin
208,California,Mariposa
209,California,Mendocino
210,California,Merced
211,California,Modoc
212,California,Mono
213,California,Monterey
214,California,Napa
215,California,Nevada
216,California,Orange
217,California,Placer
218,California,Plumas
219,California,Riverside
220,California,Sacramento
221,California,San Benito
222,California,San Bernardino
223,California,San Diego
224,California,"San Francisco, City and of"
225,California,San Joaquin
226,California,San Luis Obispo
227,California,San Mateo
228,California,Santa Barbara
229,California,Santa Clara
230,California,Santa Cruz
231,California,Shasta
